abbreviation	officialName	equation	subSystem	proteinClass	geneAssociation
ACALD	acetaldehyde dehydrogenase (acetylating)	[c] : acald + coa + nad <==> accoa + h + nadh	Pyruvate Metabolism	1.2.1.10	( b1241  or  b0351 )
ACALDtex	acetaldehyde transport via diffusion (extracellular to periplasm)	acald[e] <==> acald[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ACALDtpp	acetaldehyde reversible transport (periplasm)	acald[p] <==> acald[c]	Transport, Inner Membrane		s0001
ACANTHAT	acetyl-CoA:anthranilate acetyltransferase	[c] : accoa + anth --> acanth + coa	Tyrosine, Tryptophan, and Phenylalanine Metabolism	2.3.1.118	b1463
ACBIPGT	Adenosyl cobinamide phosphate guanyltransferase	[c] : adocbip + gtp + h --> agdpcbi + ppi	Cofactor and Prosthetic Group Biosynthesis		b1993
ACCOAC	acetyl-CoA carboxylase	[c] : accoa + atp + hco3 --> adp + h + malcoa + pi	Membrane Lipid Metabolism	6.4.1.2	( b0185  and  b2316  and  b3255  and  b3256 )
ACCOAL	acetate-CoA ligase (ADP-forming)	[c] : atp + coa + ppa --> adp + pi + ppcoa	Alternate Carbon Metabolism	6.2.1.13	b0335
ACGAL1PPpp	N-acetyl-D-galactosamine 1-phosphatase (periplasm)	[p] : acgal1p + h2o --> acgal + pi	Alternate Carbon Metabolism	3.1.3.10	
ACGAL1Ptex	N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm)	acgal1p[e] <==> acgal1p[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ACGALtex	N-acetyl-D-galactosamine transport via diffusion (extracellular to periplasm)	acgal[e] <==> acgal[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ACGAM1PPpp	N-acetyl-D-glucosamine 1-phosphatase (periplasm)	[p] : acgam1p + h2o --> acgam + pi	Alternate Carbon Metabolism	3.1.3.10	
ACGAM1Ptex	N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm)	acgam1p[e] <==> acgam1p[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ACGAMK	N-acetylglucosamine kinase	[c] : acgam + atp --> acgam6p + adp + h	Murein Recycling	2.7.1.59	b1119
ACGAMT	UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase	[c] : uacgam + udcpp --> ump + unaga	Cell Envelope Biosynthesis		b3784
ACGAptspp	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm)	acgam[p] + pep[c] --> acgam6p[c] + pyr[c]	Transport, Inner Membrane		( ( b2417  and  b1101  and  b2415  and  b2416 )  or  ( b0679  and  b2415  and  b2416 ) )
ACGAtex	N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm)	acgam[e] <==> acgam[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ACGK	acetylglutamate kinase	[c] : acglu + atp --> acg5p + adp	Arginine and Proline Metabolism	2.7.2.8	b3959
ACGS	N-acetylglutamate synthase	[c] : accoa + glu-L --> acglu + coa + h	Arginine and Proline Metabolism	2.3.1.1	b2818
ACHBS	2-aceto-2-hydroxybutanoate synthase	[c] : 2obut + h + pyr --> 2ahbut + co2	Valine, Leucine, and Isoleucine Metabolism		( ( b3670  and  b3671 )  or  ( b0077  and  b0078 ) )
ACKr	acetate kinase	[c] : ac + atp <==> actp + adp	Pyruvate Metabolism	2.7.2.1	( b3115  or  b2296  or  b1849 )
ACLS	acetolactate synthase	[c] : h + (2) pyr --> alac-S + co2	Valine, Leucine, and Isoleucine Metabolism	4.1.3.18	( ( b0077  and  b0078 )  or  ( b3670  and  b3671 ) )
ACM6PH	N-acetylmuramate 6-phosphate hydrolase	[c] : acmum6p + h2o --> acgam6p + lac-D	Alternate Carbon Metabolism		
ACMAMUT	UDP-N-acetyl-D-mannosaminuronic acid transferase	[c] : uacmamu + unaga --> h + udp + unagamu	Cell Envelope Biosynthesis		b3794
ACMANAptspp	N-acetyl-D-mannosamine transport via PTS  (periplasm)	acmana[p] + pep[c] --> acmanap[c] + pyr[c]	Transport, Inner Membrane		( b1817  and  b1818  and  b1819  and  b2415  and  b2416 )
ACMANAtex	N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm)	acmana[e] <==> acmana[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ACMUMptspp	N-acetylmuramate transport via PEP:Pyr PTS (periplasm)	acmum[p] + pep[c] --> acmum6p[c] + pyr[c]	Transport, Inner Membrane		( b2417  and  b2429  and  b2415  and  b2416 )
ACMUMtex	N-acetylmuramate transport via diffusion (extracellular to periplasm)	acmum[e] --> acmum[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ACNAMt2pp	N-acetylneuraminate proton symport (periplasm)	acnam[p] + h[p] --> acnam[c] + h[c]	Transport, Inner Membrane		b3224
ACNAMtex	N-acetylneuraminate transport via diffusion (extracellular to periplasm)	acnam[e] <==> acnam[p]	Transport, Outer Membrane		( b4311  or  b0929  or  b2215 )
ACNML	N-Acetylneuraminate lyase	[c] : acnam --> acmana + pyr	Alternate Carbon Metabolism	4.1.3.3	b3225
ACOAD1f	acyl-CoA dehydrogenase (butanoyl-CoA)	[c] : btcoa + fad <==> b2coa + fadh2	Membrane Lipid Metabolism	1.3.99.2	b0221
ACOAD2f	acyl-CoA dehydrogenase (hexanoyl-CoA)	[c] : fad + hxcoa <==> fadh2 + hx2coa	Membrane Lipid Metabolism	1.3.99.3	b0221
ACOAD3f	acyl-CoA dehydrogenase (octanoyl-CoA)	[c] : fad + occoa <==> fadh2 + oc2coa	Membrane Lipid Metabolism	1.3.99.3	b0221
ACOAD4f	acyl-CoA dehydrogenase (decanoyl-CoA)	[c] : dcacoa + fad <==> dc2coa + fadh2	Membrane Lipid Metabolism	1.3.99.3	b0221
ACOAD5f	acyl-CoA dehydrogenase (dodecanoyl-CoA)	[c] : ddcacoa + fad <==> dd2coa + fadh2	Membrane Lipid Metabolism	1.3.99.3	b0221
ACOAD6f	acyl-CoA dehydrogenase (tetradecanoyl-CoA)	[c] : fad + tdcoa <==> fadh2 + td2coa	Membrane Lipid Metabolism	1.3.99.3	b0221
ACOAD7f	acyl-CoA dehydrogenase (hexadecanoyl-CoA)	[c] : fad + pmtcoa <==> fadh2 + hdd2coa	Membrane Lipid Metabolism	1.3.99.3	b0221
ACOAD8f	acyl-CoA dehydrogenase (octadecanoyl-CoA)	[c] : fad + stcoa <==> fadh2 + od2coa	Membrane Lipid Metabolism	1.3.99.3	b0221
ACOATA	Acetyl-CoA ACP transacylase	[c] : ACP + accoa <==> acACP + coa	Membrane Lipid Metabolism	2.3.1.38	( b1094  and  b1091 )
ACODA	acetylornithine deacetylase	[c] : acorn + h2o --> ac + orn	Arginine and Proline Metabolism	3.5.1.16	b3957
ACOLIPAtex	arabinose modified core oligosaccharide lipid A transport via vector (periplasm to extracellular)	acolipa[p] --> acolipa[e]	Lipopolysaccharide Biosynthesis / Recycling		
ACONIs	aconitate isomerase (spontaneous)	[c] : acon-T <==> acon-C	Unassigned	5.3.3.7	s0001
ACONMT	Trans-aconitate methyltransferase	[c] : acon-T + amet --> aconm + ahcys	Unassigned		b1519
ACONTa	aconitase (half-reaction A, Citrate hydro-lyase)	[c] : cit <==> acon-C + h2o	Citric Acid Cycle	4.2.1.3	( b1276  or  b0118 )
ACONTb	aconitase (half-reaction B, Isocitrate hydro-lyase)	[c] : acon-C + h2o <==> icit	Citric Acid Cycle	4.2.1.3	( b0118  or  b1276 )
ACOTA	acetylornithine transaminase	[c] : acorn + akg <==> acg5sa + glu-L	Arginine and Proline Metabolism	2.6.1.11	( b3359  or  b1748 )
ACPS1	acyl-carrier protein synthase	[c] : apoACP + coa --> ACP + h + pap	Cofactor and Prosthetic Group Biosynthesis	2.7.8.7	( b2563  or  b3475 )
ACS	acetyl-CoA synthetase	[c] : ac + atp + coa --> accoa + amp + ppi	Pyruvate Metabolism	6.2.1.1	b4069
ACSERtex	O-Acetyl-L-serine transport via diffusion (extracellular to periplasm)	acser[e] <==> acser[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ACSERtpp	O-Acetyl-L-serine export via facilitated transport	acser[c] --> acser[p]	Transport, Inner Membrane		( b2578  or  b1533 )
ACt2rpp	acetate reversible transport via proton symport (periplasm)	ac[p] + h[p] <==> ac[c] + h[c]	Transport, Inner Membrane		
ACt4pp	Na+/Acetate symport (periplasm)	ac[p] + na1[p] --> ac[c] + na1[c]	Transport, Inner Membrane		b4067
ACtex	Acetate transport via diffusion (extracellular to periplasm)	ac[e] <==> ac[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ADA	Adenosine deaminase	[c] : adn + h + h2o --> ins + nh4	Nucleotide Salvage Pathway	3.5.4.4	b1623
ADCL	4-aminobenzoate synthase	[c] : 4adcho --> 4abz + h + pyr	Cofactor and Prosthetic Group Biosynthesis		b1096
ADCS	4-amino-4-deoxychorismate synthase	[c] : chor + gln-L --> 4adcho + glu-L	Cofactor and Prosthetic Group Biosynthesis		( b3360  and  b1812 )
ADD	adenine deaminase	[c] : ade + h + h2o --> hxan + nh4	Nucleotide Salvage Pathway	3.5.4.2	b3665
ADEt2rpp	adenine transport via proton symport (reversible) (periplasm)	ade[p] + h[p] <==> ade[c] + h[c]	Transport, Inner Membrane		b3654
ADEtex	adenine transport via diffusion (extracellular to periplasm)	ade[e] <==> ade[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ADK1	adenylate kinase	[c] : amp + atp <==> (2) adp	Nucleotide Salvage Pathway	2.7.4.3	b0474
ADK3	adentylate kinase (GTP)	[c] : amp + gtp <==> adp + gdp	Nucleotide Salvage Pathway		b0474
ADK4	adentylate kinase (ITP)	[c] : amp + itp <==> adp + idp	Nucleotide Salvage Pathway		b0474
ADMDC	adenosylmethionine decarboxylase	[c] : amet + h --> ametam + co2	Arginine and Proline Metabolism	4.1.1.50	b0120
ADNCYC	adenylate cyclase	[c] : atp --> camp + ppi	Nucleotide Salvage Pathway	4.6.1.1	b3806
ADNK1	adenosine kinase	[c] : adn + atp --> adp + amp + h	Nucleotide Salvage Pathway	2.7.1.20	b0474
ADNt2pp	adenosine transport in via proton symport (periplasm)	adn[p] + h[p] --> adn[c] + h[c]	Transport, Inner Membrane		( b2964  or  b2393 )
ADNt2rpp	adenosine transport in via proton symport, reversible (periplasm)	adn[p] + h[p] <==> adn[c] + h[c]	Transport, Inner Membrane		b2406
ADNtex	adenosine transport via diffusion (extracellular to periplasm)	adn[e] <==> adn[p]	Transport, Outer Membrane		b0411
ADNUC	adenosine hydrolase	[c] : adn + h2o --> ade + rib-D	Alternate Carbon Metabolism	3.2.2.8	b0030
ADOCBIK	Adenosyl cobinamide kinase	[c] : adocbi + atp --> adocbip + adp + h	Cofactor and Prosthetic Group Biosynthesis		b1993
ADOCBLabcpp	Adenosylcobalamin transport via ABC system (periplasm)	adocbl[p] + atp[c] + h2o[c] --> adocbl[c] + adp[c] + h[c] + pi[c]	Transport, Inner Membrane		( b1711  and  b1709  and  b0158 )
ADOCBLS	Adenosylcobalamin 5'-phosphate synthase	[c] : agdpcbi + rdmbzi --> adocbl + gmp + h	Cofactor and Prosthetic Group Biosynthesis		b1992
ADOCBLtonex	Adenosylcobalimin transport via ton system (extermal)	adocbl[e] + h[p] --> adocbl[p] + h[c]	Transport, Outer Membrane		( b3966  and  ( b1252  and  b3005  and  b3006 ) )
ADPRDP	ADPribose diphosphatase	[c] : adprib + h2o --> amp + (2) h + r5p	Nucleotide Salvage Pathway	3.6.1.13	b3397
ADPT	adenine phosphoribosyltransferase	[c] : ade + prpp --> amp + ppi	Nucleotide Salvage Pathway	2.4.2.7	b0469
ADSK	adenylyl-sulfate kinase	[c] : aps + atp --> adp + h + paps	Cysteine Metabolism	2.7.1.25	b2750
ADSL1r	adenylsuccinate lyase	[c] : dcamp <==> amp + fum	Purine and Pyrimidine Biosynthesis	4.3.2.2	b1131
ADSL2r	adenylosuccinate lyase	[c] : 25aics <==> aicar + fum	Purine and Pyrimidine Biosynthesis	4.3.2.2	b1131
ADSS	adenylosuccinate synthase	[c] : asp-L + gtp + imp --> dcamp + gdp + (2) h + pi	Purine and Pyrimidine Biosynthesis	6.3.4.4	b4177
AGDC	N-acetylglucosamine-6-phosphate deacetylase	[c] : acgam6p + h2o --> ac + gam6p	Alternate Carbon Metabolism	3.5.1.25	b0677
AGM3PA	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase	[c] : anhgm3p + h2o --> LalaDgluMdap + anhgm	Murein Recycling		b0110
AGM3PApp	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm)	[p] : anhgm3p + h2o --> LalaDgluMdap + anhgm	Murein Recycling		( b4169  or  b2435  or  b2817 )
AGM3PH	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase	[c] : anhgm3p + h2o --> acgam + anhm3p	Murein Recycling		b1107
AGM3Pt2pp	GlcNAc-anhMurNAc tripeptide transport in via proton symport (periplasm)	anhgm3p[p] + h[p] --> anhgm3p[c] + h[c]	Murein Recycling		b0433
AGM4PA	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase	[c] : anhgm4p + h2o --> LalaDgluMdapDala + anhgm	Murein Recycling		b0110
AGM4PApp	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase (periplasm)	[p] : anhgm4p + h2o --> LalaDgluMdapDala + anhgm	Murein Recycling		( b2817  or  b4169  or  b2435 )
AGM4PCP	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase	[c] : anhgm4p + h2o --> ala-D + anhgm3p	Murein Recycling		b1192
AGM4PCPpp	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase (periplasmic)	[p] : anhgm4p + h2o --> ala-D + anhgm3p	Murein Recycling		
AGM4PH	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide beta -1,4-N-acetylglucosaminidase	[c] : anhgm4p + h2o --> acgam + anhm4p	Murein Recycling		b1107
AGM4Pt2pp	GlcNAc-anhMurNAc tetrapeptide transport in via proton symport (periplasm)	anhgm4p[p] + h[p] --> anhgm4p[c] + h[c]	Murein Recycling		b0433
AGMH	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl beta -1,4-N-acetylglucosaminidase	[c] : anhgm + h2o --> acgam + anhm	Murein Recycling		b1107
AGMHE	ADP-D-glycero-D-manno-heptose epimerase	[c] : adphep-DD --> adphep-LD	Lipopolysaccharide Biosynthesis / Recycling	5.1.3.20	b3619
AGMT	agmatinase	[c] : agm + h2o --> ptrc + urea	Arginine and Proline Metabolism	3.5.3.11	b2937
AGMt2pp	GlcNAc-anhMurNAc transport in via proton symport (periplasm)	anhgm[p] + h[p] --> anhgm[c] + h[c]	Murein Recycling		b0433
AGMtex	agmatine transport via diffusion (extracellular to periplasm)	agm[e] <==> agm[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
AGPAT120	1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0)	[c] : 1ddecg3p + ddcaACP --> ACP + pa120	Glycerophospholipid Metabolism	2.3.1.51	b3018
AGPAT140	1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0)	[c] : 1tdecg3p + myrsACP --> ACP + pa140	Glycerophospholipid Metabolism	2.3.1.51	b3018
AGPAT141	1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1)	[c] : 1tdec7eg3p + tdeACP --> ACP + pa141	Glycerophospholipid Metabolism	2.3.1.51	b3018
AGPAT160	1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0)	[c] : 1hdecg3p + palmACP --> ACP + pa160	Glycerophospholipid Metabolism	2.3.1.51	b3018
AGPAT161	1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1)	[c] : 1hdec9eg3p + hdeACP --> ACP + pa161	Glycerophospholipid Metabolism	2.3.1.51	b3018
AGPAT180	1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0)	[c] : 1odecg3p + ocdcaACP --> ACP + pa180	Glycerophospholipid Metabolism	2.3.1.51	b3018
AGPAT181	1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1)	[c] : 1odec11eg3p + octeACP --> ACP + pa181	Glycerophospholipid Metabolism	2.3.1.51	b3018
AGPR	N-acetyl-g-glutamyl-phosphate reductase	[c] : acg5sa + nadp + pi <==> acg5p + h + nadph	Arginine and Proline Metabolism	1.2.1.38	b3958
AGt3	silver transport out via proton antiport	ag[c] + h[e] --> ag[e] + h[c]	Inorganic Ion Transport and Metabolism		( b0572  and  b0573  and  b0574  and  b0575 )
AHCYSNS	S-adenosylhomocysteine nucleosidase	[c] : ahcys + h2o --> ade + rhcys	Methionine Metabolism	3.2.2.9	b0159
AICART	phosphoribosylaminoimidazolecarboxamide formyltransferase	[c] : 10fthf + aicar <==> fprica + thf	Purine and Pyrimidine Biosynthesis	2.1.2.3	b4006
AIRC2	phosphoribosylaminoimidazole carboxylase	[c] : air + atp + hco3 --> 5caiz + adp + h + pi	Purine and Pyrimidine Biosynthesis		b0522
AIRC3	phosphoribosylaminoimidazole carboxylase (mutase rxn)	[c] : 5aizc <==> 5caiz	Purine and Pyrimidine Biosynthesis		b0523
AKGDH	2-Oxogluterate dehydrogenase	[c] : akg + coa + nad --> co2 + nadh + succoa	Citric Acid Cycle		( b0116  and  b0726  and  b0727 )
AKGt2rpp	2-oxoglutarate reversible transport via symport (periplasm)	akg[p] + h[p] <==> akg[c] + h[c]	Transport, Inner Membrane		b2587
AKGtex	alpha-ketoglutarate transport via diffusion (extracellular to periplasm)	akg[e] <==> akg[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ALAabcpp	L-alanine transport via ABC system (periplasm)	ala-L[p] + atp[c] + h2o[c] --> adp[c] + ala-L[c] + h[c] + pi[c]	Transport, Inner Membrane		( b3454  and  b3455  and  b3457  and  b3460  and  b3456 )
ALAALAabcpp	D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm)	alaala[p] + atp[c] + h2o[c] --> adp[c] + alaala[c] + h[c] + pi[c]	Transport, Inner Membrane		( ( b3544  and  b3543  and  b3542  and  b3541  and  b3540 )  or  ( b1487  and  b1486  and  b1485  and  b1484  and  b1483 ) )
ALAALAD	D-alanine-D-alanine dipeptidase	[c] : alaala + h2o --> (2) ala-D	Murein Recycling	3.4.17.14	b1488
ALAALAr	D-alanine-D-alanine ligase (reversible)	[c] : (2) ala-D + atp <==> adp + alaala + h + pi	Cell Envelope Biosynthesis	6.3.2.4	( b0381  or  b0092 )
ALAALAtex	D-alanyl-D-alanine (DalaDala) transport via diffusion (extracellular to periplasm)	alaala[e] <==> alaala[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ALAGLUE	L-alanyl-gamma-glutamate epimerase	[c] : LalaDglu <==> LalaLglu	Murein Recycling		b1325
ALAR	alanine racemase	[c] : ala-L <==> ala-D	Alanine and Aspartate Metabolism	5.1.1.1	( b4053  or  b1190 )
ALAt2pp	L-alanine transport in via proton symport (periplasm)	ala-L[p] + h[p] --> ala-L[c] + h[c]	Transport, Inner Membrane		b4208
ALAt4pp	L-alanine transport in via sodium symport (periplasm)	ala-L[p] + na1[p] --> ala-L[c] + na1[c]	Transport, Inner Membrane		b0007
ALATA_D2	D-alanine transaminase	[c] : ala-D + pydx5p --> pyam5p + pyr	Cofactor and Prosthetic Group Biosynthesis		( b0870  or  b2551 )
ALATA_L	L-alanine transaminase	[c] : akg + ala-L <==> glu-L + pyr	Alanine and Aspartate Metabolism	2.6.1.2	
ALATA_L2	alanine transaminase	[c] : ala-L + pydx5p --> pyam5p + pyr	Cofactor and Prosthetic Group Biosynthesis		( b2551  or  b0870 )
ALAtex	L-alanine transport via diffusion (extracellular to periplasm)	ala-L[e] <==> ala-L[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ALATRS	Alanyl-tRNA synthetase	[c] : ala-L + atp + trnaala --> alatrna + amp + ppi	tRNA Charging	6.1.1.7	b2697
ALCD19	alcohol dehydrogenase (glycerol)	[c] : glyald + h + nadh <==> glyc + nad	Alternate Carbon Metabolism	1.1.1.1	b0356
ALCD2x	alcohol dehydrogenase (ethanol)	[c] : etoh + nad <==> acald + h + nadh	Pyruvate Metabolism	1.1.1.1	( b0356  or  b1478  or  b1241 )
ALDD19x	aldehyde dehydrogenase (phenylacetaldehyde, NAD)	[c] : h2o + nad + pacald --> (2) h + nadh + pac	Alternate Carbon Metabolism	1.2.1.39	b1385
ALDD2x	aldehyde dehydrogenase (acetaldehyde, NAD)	[c] : acald + h2o + nad --> ac + (2) h + nadh	Alternate Carbon Metabolism	1.2.1.3	b1300
ALDD2y	aldehyde dehydrogenase (acetaldehyde, NADP)	[c] : acald + h2o + nadp --> ac + (2) h + nadph	Alternate Carbon Metabolism	1.2.1.4	b3588
ALDD3y	aldehyde dehydrogenase (propanal, NADP)	[c] : h2o + nadp + ppal --> (2) h + nadph + ppa	Alternate Carbon Metabolism		b3588
ALDD4	aldehyde dehydrogenase (butanal, NAD)	[c] : btal + h2o + nad --> but + (2) h + nadh	Alternate Carbon Metabolism		
ALLabcpp	D-allose transport via ABC system (periplasm)	all-D[p] + atp[c] + h2o[c] --> adp[c] + all-D[c] + h[c] + pi[c]	Transport, Inner Membrane		( b4087  and  b4088  and  b4086 )
ALLK	Allose kinase	[c] : all-D + atp --> adp + all6p + h	Alternate Carbon Metabolism		b4084
ALLPI	Allose 6-phosphate isomerase	[c] : all6p <==> allul6p	Alternate Carbon Metabolism		b4090
ALLTAMH	allantoate amidohydrolase	[c] : alltt + (2) h + (2) h2o --> co2 + (2) nh4 + urdglyc	Alternate Carbon Metabolism	3.5.3.9	b0516
ALLtex	Allose transport via diffusion (extracellular to periplasm)	all-D[e] <==> all-D[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ALLTN	allantoinase	[c] : alltn + h2o --> alltt + h	Nitrogen Metabolism	3.5.2.5	b0512
ALLTNt2rpp	allantoin transport in via proton symport (periplasm)	alltn[p] + h[p] <==> alltn[c] + h[c]	Transport, Inner Membrane		b0511
ALLTNtex	allantoin transport via diffusion (extracellular to periplasm)	alltn[e] <==> alltn[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
ALLULPE	Allulose 6-phosphate epimerase	[c] : allul6p <==> f6p	Alternate Carbon Metabolism		b4085
ALPATE160pp	apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)	[p] : alpp + pe160 --> 2agpe160 + lpp	Unassigned		( b0657  and  b1677 )
ALPATG160pp	apolipoprotein N-acyltransferase (phosphatidylglycerol, periplasm)	[p] : alpp + pg160 --> 2agpg160 + lpp	Unassigned		( b0657  and  b1677 )
ALR2	aldose reductase (methylglyoxal)	[c] : h + mthgxl + nadph --> acetol + nadp	Methylglyoxal Metabolism		( b3012  or  b0207  or  b1781  or  b3001 )
ALR4x	aldose reductase (acetol)	[c] : acetol + h + nadh --> 12ppd-R + nad	Glycerophospholipid Metabolism		b3945
ALTRH	altronate hydrolase	[c] : altrn --> 2ddglcn + h2o	Alternate Carbon Metabolism	4.2.1.7	b3091
AM3PA	anhydrous-N-Acetylmuramyl-tripeptide amidase	[c] : anhm3p + h2o --> LalaDgluMdap + anhm	Murein Recycling		b0110
AM4PA	anhydrous-N-Acetylmuramyl-tetrapeptide amidase	[c] : anhm4p + h2o --> LalaDgluMdapDala + anhm	Murein Recycling		b0110
AM4PCP	anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase	[c] : anhm4p + h2o --> ala-D + anhm3p	Murein Recycling		b1192
AMALT1	Amylomaltase (maltotriose)	[c] : malt + malttr --> glc-D + maltttr	Alternate Carbon Metabolism	2.4.1.25	b3416
AMALT2	Amylomaltase (maltotetraose)	[c] : malt + maltttr --> glc-D + maltpt	Alternate Carbon Metabolism	2.4.1.25	b3416
AMALT3	Amylomaltase (maltopentaose)	[c] : malt + maltpt --> glc-D + malthx	Alternate Carbon Metabolism	2.4.1.25	b3416
AMALT4	Amylomaltase (maltohexaose)	[c] : malt + malthx --> glc-D + malthp	Alternate Carbon Metabolism	2.4.1.25	b3416
AMANAPEr	N-acetylmannosamine 6-phosphate epimerase	[c] : acmanap <==> acgam6p	Alternate Carbon Metabolism		b3223
AMANK	N-acetyl-D-mannosamine kinase	[c] : acmana + atp --> acmanap + adp + h	Alternate Carbon Metabolism	2.7.1.60	b3222
AMAOTr	adenosylmethionine-8-amino-7-oxononanoate transaminase	[c] : 8aonn + amet <==> amob + dann	Cofactor and Prosthetic Group Biosynthesis	2.6.1.62	b0774
AMMQLT8	S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 8)	[c] : 2dmmql8 + amet --> ahcys + h + mql8	Cofactor and Prosthetic Group Biosynthesis		b3833
